@ID,X.12TH.GENDER,SU Race,X.12TH.FGEN.FLAG,X.12TH.FY.COHORT,X.12TH.TR.COHORT,X.12TH.PELL.FLAG
3352143,F,HIS,,18/FA,,
3323236,F,HIS,,15/FA,,
3347621,F,HIS,Y,,18/SP,Y
3323393,F,HIS,,15/FA,,
3348221,M,HIS,Y,18/FA,,
3341409,M,BL,,17/FA,,Y
3321665,F,WHI,,15/FA,,
3333313,F,MUL,,16/FA,,
3339029,F,MUL,,17/FA,,
3351841,M,WHI,,18/FA,,
3347274,M,WHI,,18/FA,,
3352286,F,HIS,Y,18/FA,,
3331993,M,HIS,,16/FA,,
3347613,F,HIS,Y,18/FA,,
3351584,F,NRA,,18/FA,,
3331874,F,HIS,,16/FA,,Y
3333241,M,WHI,,16/FA,,
2915252,M,WHI,,18/FA,,Y
3338905,F,WHI,Y,17/FA,,Y
3340264,F,HIS,,17/FA,,
3351635,M,WHI,,18/FA,,
3322212,F,WHI,,,16/FA,
3347095,F,WHI,,18/FA,,
3350772,M,WHI,,18/FA,,
2903245,M,WHI,,18/FA,,
3333228,F,WHI,,16/FA,,
3331760,M,BL,,16/FA,,Y
3342945,M,WHI,,17/FA,,
3347259,M,WHI,,18/FA,,
3322549,F,MUL,Y,15/FA,,Y
3341199,F,MUL,,17/FA,,
3338875,F,WHI,,17/FA,,
3334604,F,WHI,Y,16/FA,,
3350576,F,HIS,Y,18/FA,,Y
3352058,M,WHI,,18/FA,,Y
3324163,F,WHI,,15/FA,,
3324016,F,HIS,,15/FA,,
3348848,F,WHI,,18/FA,,
3335673,M,WHI,Y,16/FA,,
3350013,F,WHI,,18/FA,,
3334927,M,NRA,Y,16/FA,,
3350357,F,HIS,,18/FA,,
3340277,F,WHI,,17/FA,,
3332373,F,MUL,,16/FA,,Y
3322952,F,AS,,15/FA,,
2895530,F,WHI,,18/FA,,
3318536,F,HIS,,14/FA,,Y
3347836,F,WHI,Y,18/FA,,
