STH.STUDENT,STH.TERM,SWU.STH.CODE.DESC,SWU.STH.REASON.DESC,SWU.12DH.START.TERM,SWU.12DH.ADMIT.STATUS,SWU.12DH.ORIG.START.TERM,SWU.12DH.ORIG.ADMIT.STATUS,SWU.LAST.T.TERM,SWU.12TH.FY.COHORT
3333207,19/FA,Study Abroad,Mexico,16/FA,1,,,19/SP,16/FA
3350499,19/FA,LOA-Student,LOA-Student,18/FA,1,,,19/S1,18/FA
3344807,19/FA,Study Abroad,Italy,17/FA,1,,,19/SP,17/FA
2924081,19/FA,LOA-Student,LOA-Student,13/FA,1,,,19/SP,13/FA
3334680,19/SP,LOA-Student,LOA-Student,16/FA,1,,,19/FA,16/FA
3324572,19/SP,Study Abroad,USA,15/FA,1,,,18/FA,15/FA
3335716,19/SP,LOA-Student,LOA-Student,16/FA,1,,,19/FA,16/FA
3314443,19/SP,Study Abroad,Spain,16/FA,1,,,19/FA,16/FA
3332925,19/SP,Study Abroad,USA,16/FA,1,,,19/FA,16/FA
3344077,19/SP,LOA-Student,LOA-Student,17/FA,1,,,18/SP,17/FA
3339321,19/SP,LOA-Student,LOA-Student,17/FA,1,,,19/FA,17/FA
3331421,19/SP,Study Abroad,New Zealand,16/FA,1,,,19/FA,16/FA
3343910,19/SP,Study Abroad,Belgium,17/FA,1,,,19/FA,17/FA
3332199,19/SP,LOA-Student,LOA-Student,16/FA,1,,,18/SP,16/FA
3335211,19/SP,Study Abroad,Sweden,16/FA,1,,,19/FA,16/FA
1213061,19/SP,LOA-Student,LOA-Student,12/FA,3,03/FA,8,19/FA,
3333209,19/SP,Study Abroad,Spain,17/FA,2,,,19/FA,
3331131,19/SP,Study Abroad,Argentina,16/FA,1,,,19/FA,16/FA
3331790,19/SP,LOA-Student,LOA-Student,16/FA,1,,,19/S3,16/FA
3338972,19/SP,Study Abroad,England,17/FA,1,,,19/FA,17/FA
3351914,19/SP,LOA-Student,LOA-Student,18/FA,1,,,18/FA,18/FA
